Organic,Mineral,Surface
22.74,8.5,10.83
29.8,3.91,8.74
27.1,9.29,9.2
16.51,21,8.12
6.51,10.89,7.6
8.81,10.3,6.3
5.29,11.56,6.68
20.46,7,7.34
14.9,3.99,9.52
14.86,3.79,11.94
15.91,5.5,12.4
15.35,4.71,10.3
9.72,7.66,10.48
19.8,11.72,12.88
14.86,11.8,19.01
8.09,8.05,19.19
17.9,10.72,13.14
18.3,21.82,12.51
5.2,22.62,15.76
11.9,10.74,10.96
14,3.02,19.78
7.4,7.45,20.56
17.5,11.33,17.93
10.3,7.11,14.28
11.4,17.99,13.11
5.3,21.4,12.27
15.72,8.37,16.47
20.46,7.92,15.03
16.87,17.9,14.53
15.42,7.31,12.04
22.49,16.92,16.82
,4.6,10.7
,8.5,16
,4.8,20.7
,4.9,13.7
,9.1,16.12
,7.9,15.77
,11.72,6.4
,4.85,14.19
,11.97,13.89
,7.85,8.69
,9.11,10.46
,8.79,16.23
,9.6,15.43
,12.57,
,12.89,
,9.81,
